
Note: No compatibility mode selected!


Circuit: tb_v2_casopeggiore.cir - v2 al jack, il caso peggiore col mute reale: ldr vtl5c4 v4 a monte e rele' al jack, guadagno, trim, dispersione, accensione (l29c, nc-028)

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Last Node Voltages
------------------

Node                                   Last Voltage        Previous Iter
xf1.g2                                          nan                  nan
xf1.s2                                          nan                  nan
xf1.src                                         nan                  nan
xf1.nte                                         nan                  nan
xf1.nmiri                                       nan                  nan
xf1.nme1                                        nan                  nan
xf1.nme2                                        nan                  nan
xf1.nve                                         nan                  nan
xf1.ny                                          nan                  nan
xf1.nvle                                        nan                  nan
xf1.nbb                                         nan                  nan
xf1.nbn                                         nan                  nan
xf1.nen                                         nan                  nan
xf1.nbp                                         nan                  nan
xf1.nep                                         nan                  nan
rgf1                                            nan                  nan
rg10f1                                          nan                  nan
f2in                                            nan                  nan
xf2.nref                                        nan                  nan
xf2.ncasc                                       nan                  nan
xf2.nx                                          nan                  nan
xf2.nhi                                         nan                  nan
outf2                                           nan                  nan
fbf2                                            nan                  nan
xf2.nrefm                                       nan                  nan
xf2.d1n                                         nan                  nan
xf2.g1                                          nan                  nan
xf2.s1                                          nan                  nan
xf2.d2n                                         nan                  nan
xf2.g2                                          nan                  nan
xf2.s2                                          nan                  nan
xf2.src                                         nan                  nan
xf2.nte                                         nan                  nan
xf2.nmiri                                       nan                  nan
xf2.nme1                                        nan                  nan
xf2.nme2                                        nan                  nan
xf2.nve                                         nan                  nan
xf2.ny                                          nan                  nan
xf2.nvle                                        nan                  nan
xf2.nbb                                         nan                  nan
xf2.nbn                                         nan                  nan
xf2.nen                                         nan                  nan
xf2.nbp                                         nan                  nan
xf2.nep                                         nan                  nan
rgf2                                            nan                  nan
rg10f2                                          nan                  nan
fix1                                            nan                  nan
fixc1                                           nan                  nan
fixjack1                                        nan                  nan
fix2                                            nan                  nan
fixc2                                           nan                  nan
fixjack2                                        nan                  nan
wb                                              nan                  nan
xb.nref                                         nan                  nan
xb.ncasc                                        nan                  nan
xb.nx                                           nan                  nan
xb.nhi                                          nan                  nan
outb                                            nan                  nan
fbb                                             nan                  nan
xb.nrefm                                        nan                  nan
xb.d1n                                          nan                  nan
xb.g1                                           nan                  nan
xb.s1                                           nan                  nan
xb.d2n                                          nan                  nan
xb.g2                                           nan                  nan
xb.s2                                           nan                  nan
xb.src                                          nan                  nan
xb.nte                                          nan                  nan
xb.nmiri                                        nan                  nan
xb.nme1                                         nan                  nan
xb.nme2                                         nan                  nan
xb.nve                                          nan                  nan
xb.ny                                           nan                  nan
xb.nvle                                         nan                  nan
xb.nbb                                          nan                  nan
xb.nbn                                          nan                  nan
xb.nen                                          nan                  nan
xb.nbp                                          nan                  nan
xb.nep                                          nan                  nan
rgb                                             nan                  nan
rg10b                                           nan                  nan
main_a                                          nan                  nan
mainc                                           nan                  nan
mainjack                                        nan                  nan
nti                                             -10                  -10
ntr                                            1000                 1000
ntd                                               6                    6
din                                               1                    1
dep                                               1                    1
als                                             nan                  nan
npwl                                              1                    1
alp                                             nan                  nan
srcx                                            nan                  nan
xls.nl                                            0                    0
xls.xt                                          nan                  nan
xls.tau                                         nan                  nan
xls.d0                                          nan                  nan
xls.xs                                          nan                  nan
xlp.nl                                            0                    0
xlp.xt                                          nan                  nan
xlp.tau                                         nan                  nan
xlp.d0                                          nan                  nan
xlp.xs                                          nan                  nan
nk1i                                              1                    1
nk1t                                           1000                 1000
sk1r                                              1                    1
sk1                                     0.000251121          0.000251121
nk5i                                              1                    1
nk5t                                           1000                 1000
sk5r                                              1                    1
sk5                                     0.000251121          0.000251121
tap6                                            nan                  nan
tap12                                           nan                  nan
nt1ri                                             1                    1
nt1rt                                          1000                 1000
st1rr                                             1                    1
st1r                                    0.000251121          0.000251121
atop                                            nan                  nan
nt1si                                             0                    0
nt1st                                          1000                 1000
st1sr                                             0                    0
st1s                                              0                    0
t2c                                             nan                  nan
nt2ri                                             1                    1
nt2rt                                          1000                 1000
st2rr                                             1                    1
st2r                                    0.000251121          0.000251121
nt2si                                             0                    0
nt2st                                          1000                 1000
st2sr                                             0                    0
st2s                                              0                    0
prbd                                             15                   15
prbg                                              0                    0
bt2sr#branch                                      0                    0
bt2rr#branch                           -0.000999749         -0.000999749
bt1sr#branch                                      0                    0
bt1rr#branch                           -0.000999749         -0.000999749
bk5r#branch                            -0.000999749         -0.000999749
bk1r#branch                            -0.000999749         -0.000999749
b.xlp.bd0#branch                                  0                    0
b.xlp.btau#branch                                 0                    0
b.xlp.bxt#branch                                  0                    0
v.xlp.vsen#branch                               nan                  nan
b.xls.bd0#branch                                  0                    0
b.xls.btau#branch                                 0                    0
b.xls.bxt#branch                                  0                    0
v.xls.vsen#branch                               nan                  nan
bdep#branch                                       0                    0
bdin#branch                                       0                    0
bsselr#branch                                     0                    0
bsserr#branch                                     0                    0
bsprer#branch                                     0                    0
bsjkr#branch                           -0.000999749         -0.000999749
bsrc#branch                                     nan                  nan
vpwl#branch                                       0                    0
vprbg#branch                                1.36363              1.36363
vprbd#branch                               -1.36363             -1.36363
vt2st#branch                                      0                    0
vt2si#branch                                      0                    0
vt2rt#branch                                      0                    0
vt2ri#branch                                      0                    0
vt1st#branch                                      0                    0
vt1si#branch                                      0                    0
vt1rt#branch                                      0                    0
vt1ri#branch                                      0                    0
vk5t#branch                                       0                    0
vk5i#branch                                       0                    0
vk1t#branch                                       0                    0
vk1i#branch                                       0                    0
vtd#branch                                        0                    0
vtr#branch                                        0                    0
vti#branch                                        0                    0
vosb#branch                                     nan                  nan
vosf2#branch                                    nan                  nan
vosf1#branch                                    nan                  nan
vosa#branch                                     nan                  nan
vmhsel#branch                                     0                    0
vtgsel#branch                                     0                    0
vtrsel#branch                                     0                    0
vtisel#branch                                     0                    0
vmhser#branch                                     0                    0
vtgser#branch                                     0                    0
vtrser#branch                                     0                    0
vtiser#branch                                     0                    0
vmhpre#branch                                     0                    0
vtgpre#branch                                     0                    0
vtrpre#branch                                     0                    0
vtipre#branch                                     0                    0
vmhjk#branch                                      0                    0
vtgjk#branch                                      0                    0
vtrjk#branch                                      0                    0
vtijk#branch                                      0                    0
vten#branch                                       0                    0
vphs#branch                                       0                    0
vfrq#branch                                       0                    0
vamp#branch                                       0                    0
vmm#branch                                      nan                  nan
vpp#branch                                      nan                  nan


No. of Data Rows : 0
warning, model type mismatch in line
    q121a nmiri nmiri nme1 ls350
warning, model type mismatch in line
    q121b nhi nmiri nme2 ls350
Warning: Model issue on line 122 :
  .model lsk489a njf(beta=2.2m betatce=-.5 rd=11 rs=30 lambda=4.3m vto=-1. ...
unrecognized parameter (isr) - ignored
unrecognized parameter (alpha) - ignored
unrecognized parameter (vk) - ignored
unrecognized parameter (mj) - ignored

Note: Starting spice3 gmin stepping
Warning: spice3 gmin stepping failed
Note: Starting source stepping
Warning: source stepping failed
Note: Transient op started
Error: Transient op failed, timestep too small


Error: The operating point could not be simulated successfully.
    Any of the following steps may fail.!


Error: Finding the operating point for transient simulation failed 

doAnalyses: TRAN:  Timestep too small; initial timepoint: trouble with lsk489a-instance jprb


tran simulation(s) aborted
Warning from checkvalid: vector outa is not available or has zero length.
Error: incomplete or empty netlist
       or no ".plot", ".print", or ".fourier" lines in batch mode;
no simulations run!
