cella,grandezza,uscita,prima,dopo,diff,rel
pav_inv_1k_100k,C2_pav,MAINJACK,5.442e-06,5.352e-06,-9e-08,-0.01654
rele_1k_100k,A_ins,FIXJACK1,3.973e-05,3.973e-05,0,0
rele_1k_100k,A_ins,FIXJACK2,3.973e-05,3.973e-05,0,0
rele_1k_100k,A_ins,MAINJACK,0.0001251,0.0001251,0,0
rele_1k_100k,A_rel,FIXJACK1,2.076e-05,2.075e-05,-1e-08,-0.0004817
rele_1k_100k,A_rel,FIXJACK2,2.076e-05,2.075e-05,-1e-08,-0.0004817
rele_1k_100k,A_rel,MAINJACK,6.545e-05,6.544e-05,-1e-08,-0.0001528
rele_1k_100k,B2,FIXJACK1,1.072e-07,1.072e-07,0,0
rele_1k_100k,B2,FIXJACK2,1.072e-07,1.072e-07,0,0
rele_1k_100k,B2,MAINJACK,3.297e-07,3.296e-07,-1e-10,-0.0003033
rele_1k_100k,C1_ins,FIXJACK1,2.118e-05,2.117e-05,-1e-08,-0.0004721
rele_1k_100k,C1_ins,FIXJACK2,2.118e-05,2.117e-05,-1e-08,-0.0004721
rele_1k_100k,C1_ins,MAINJACK,6.665e-05,6.663e-05,-2e-08,-0.0003001
rele_1k_100k,C1_rel,FIXJACK1,1.794e-05,1.794e-05,0,0
rele_1k_100k,C1_rel,FIXJACK2,1.794e-05,1.794e-05,0,0
rele_1k_100k,C1_rel,MAINJACK,5.644e-05,5.643e-05,-1e-08,-0.0001772
rele_1k_100k,C2_ins,FIXJACK1,2.118e-05,2.118e-05,0,0
rele_1k_100k,C2_ins,FIXJACK2,2.118e-05,2.118e-05,0,0
rele_1k_100k,C2_ins,MAINJACK,6.666e-05,6.664e-05,-2e-08,-0.0003
rele_1k_100k,C2_rel,FIXJACK1,1.797e-05,1.797e-05,0,0
rele_1k_100k,C2_rel,FIXJACK2,1.797e-05,1.797e-05,0,0
rele_1k_100k,C2_rel,MAINJACK,5.651e-05,5.651e-05,0,0
rele_1k_100k,S_ins,FIXJACK1,0,0,0,0
rele_1k_100k,S_ins,FIXJACK2,0,0,0,0
rele_1k_100k,S_ins,MAINJACK,0,0,0,0
rele_1k_100k,S_rel,FIXJACK1,0,0,0,0
rele_1k_100k,S_rel,FIXJACK2,0,0,0,0
rele_1k_100k,S_rel,MAINJACK,0,0,0,0
sempre_1k_100k,B1,FIXJACK1,1.832e-08,1.832e-08,0,0
sempre_1k_100k,B1,FIXJACK2,1.832e-08,1.832e-08,0,0
sempre_1k_100k,B1,MAINJACK,5.771e-08,5.771e-08,0,0
